"stationID","datetimeUTC","voltage_V","h2Temp_C","stage_ft","LSU","telem_source","basinPair"
"CW","2021-11-08 12:05:00",12.6,-5.4,0.05,100,"GOES","Coxit"
"CE","2021-11-08 12:05:00",12.6,-5.9,0.05,1,"GOES","Coxit"
"FE","2021-11-09 00:05:00",12.6,-0.1,0.05,100,"GOES","Fish Creek"
"CW","2021-11-09 00:05:00",12.6,-2.6,0.05,100,"GOES","Coxit"
"CE","2021-11-09 00:05:00",12.6,-2.8,0.04,1,"GOES","Coxit"
"TW","2021-11-09 12:05:00",12.5,-1.9,0.05,7,"GOES","Tripps Knob"
"FE","2021-11-09 12:05:00",12.6,-2.3,0.04,100,"GOES","Fish Creek"
"CW","2021-11-09 12:05:00",12.6,-3.3,0.05,100,"GOES","Coxit"
"CE","2021-11-09 12:05:00",12.6,-3.8,0.04,1,"GOES","Coxit"
"TW","2021-11-10 00:05:00",12.5,0.2,0.14,7,"GOES","Tripps Knob"
"FE","2021-11-10 00:05:00",12.6,0.2,0.08,100,"GOES","Fish Creek"
"CW","2021-11-10 00:05:00",12.6,-2.4,0.04,100,"GOES","Coxit"
"CE","2021-11-10 00:05:00",12.6,-2.6,0.04,1,"GOES","Coxit"
"FE","2021-11-10 12:05:00",12.6,-1.1,0.06,100,"GOES","Fish Creek"
"CW","2021-11-10 12:05:00",12.6,-4.8,0.04,100,"GOES","Coxit"
"CE","2021-11-10 12:05:00",12.6,-5,0.04,1,"GOES","Coxit"
"FE","2021-11-11 00:05:00",12.6,-1,0.06,100,"GOES","Fish Creek"
"CW","2021-11-11 00:05:00",12.6,-3.1,0.05,100,"GOES","Coxit"
"CE","2021-11-11 00:05:00",12.6,-3.1,0.04,1,"GOES","Coxit"
"TW","2021-11-11 12:05:00",12.5,-1.2,0.06,7,"GOES","Tripps Knob"
"FE","2021-11-11 12:05:00",12.6,-1.6,0.05,100,"GOES","Fish Creek"
"CW","2021-11-11 12:05:00",12.6,-3.4,0.05,100,"GOES","Coxit"
"CE","2021-11-11 12:05:00",12.6,-3.8,0.04,1,"GOES","Coxit"
"TW","2021-11-12 00:05:00",12.4,-0.3,0.06,7,"GOES","Tripps Knob"
"FE","2021-11-12 00:05:00",12.6,-1,0.05,100,"GOES","Fish Creek"
"CW","2021-11-12 00:05:00",12.6,-1.9,0.04,100,"GOES","Coxit"
"CE","2021-11-12 00:05:00",12.6,-2.1,0.04,1,"GOES","Coxit"
"TW","2021-11-12 12:05:00",12.4,-0.3,0.14,7,"GOES","Tripps Knob"
"FE","2021-11-12 12:05:00",12.6,-0.6,0.11,100,"GOES","Fish Creek"
"CW","2021-11-12 12:05:00",12.6,-1.2,0.05,100,"GOES","Coxit"
"CE","2021-11-12 12:05:00",12.6,-1.5,0.04,1,"GOES","Coxit"
"TW","2021-11-13 00:05:00",12.4,4.8,0.2,7,"GOES","Tripps Knob"
"FE","2021-11-13 00:05:00",12.6,4.7,0.15,100,"GOES","Fish Creek"
"CW","2021-11-13 00:05:00",12.6,-0.1,0.05,100,"GOES","Coxit"
"CE","2021-11-13 00:05:00",12.6,-0.5,0.05,1,"GOES","Coxit"
"TW","2021-11-13 12:05:00",12.5,2.7,0.12,7,"GOES","Tripps Knob"
"FE","2021-11-13 12:05:00",12.6,1.9,0.11,100,"GOES","Fish Creek"
"CW","2021-11-13 12:05:00",12.6,-1.7,0.05,100,"GOES","Coxit"
"CE","2021-11-13 12:05:00",12.6,-2.2,0.04,1,"GOES","Coxit"
"TW","2021-11-14 00:05:00",12.4,3.2,0.09,7,"GOES","Tripps Knob"
"FE","2021-11-14 00:05:00",12.6,2.3,0.09,100,"GOES","Fish Creek"
"CW","2021-11-14 00:05:00",12.6,-0.8,0.05,100,"GOES","Coxit"
"CE","2021-11-14 00:05:00",12.6,-1.4,0.05,1,"GOES","Coxit"
"TW","2021-11-14 12:05:00",12.4,2.9,0.2,7,"GOES","Tripps Knob"
"FE","2021-11-14 12:05:00",12.6,4.7,0.15,100,"GOES","Fish Creek"
